Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Tariq Abdul-Wahad,SG,25,TOT,61,56,25.9,4.5,10.6,0.0,0.4,4.4,10.2,2.4,3.2,1.7,3.1,4.8,1.6,1.0,0.5,1.7,2.4,11.4
2,Shareef Abdur-Rahim,SF,23,VAN,82,82,39.3,7.2,15.6,0.4,1.2,6.9,14.4,5.4,6.7,2.7,7.4,10.1,3.3,1.1,1.1,3.0,3.0,20.3
3,Cory Alexander,PG,26,DEN,29,2,11.3,1.0,3.4,0.3,1.2,0.7,2.2,0.6,0.8,0.3,1.2,1.4,2.0,0.8,0.1,1.0,1.3,2.8
4,Ray Allen*,SG,24,MIL,82,82,37.4,7.8,17.2,2.1,5.0,5.7,12.2,4.3,4.9,1.0,3.4,4.4,3.8,1.3,0.2,2.2,2.3,22.1
5,Rafer Alston,PG,23,MIL,27,0,13.4,1.0,3.5,0.1,0.5,0.9,3.0,0.1,0.1,0.2,0.7,0.9,2.6,0.4,0.0,1.1,1.1,2.2
6,John Amaechi,C,29,ORL,80,53,21.1,3.8,8.8,0.0,0.1,3.8,8.7,2.8,3.6,0.8,2.6,3.3,1.2,0.4,0.5,1.7,2.0,10.5
7,Derek Anderson,SG,25,LAC,64,58,34.4,5.9,13.4,0.9,2.8,5.0,10.7,4.2,4.8,1.3,2.8,4.0,3.4,1.4,0.2,2.6,2.3,16.9
8,Kenny Anderson,PG,29,BOS,82,82,31.6,5.3,12.0,1.0,2.7,4.3,9.3,2.4,3.1,0.7,2.1,2.7,5.1,1.7,0.1,1.6,2.8,14.0
9,Nick Anderson,SG,32,SAC,72,72,29.1,4.3,10.9,1.8,5.5,2.4,5.3,0.5,1.1,1.2,3.6,4.7,1.7,1.3,0.2,1.3,1.6,10.8
10,Shandon Anderson,SF,26,HOU,82,82,32.9,4.5,9.5,1.0,2.7,3.5,6.7,2.4,3.1,1.1,3.6,4.7,2.9,1.2,0.4,2.4,2.2,12.3
11,Chris Anstey,C,25,CHI,73,11,13.8,2.2,5.0,0.0,0.1,2.2,4.9,1.6,2.0,1.2,2.6,3.8,0.9,0.4,0.3,1.1,2.5,6.0
12,Greg Anthony,PG,32,POR,82,3,18.9,2.1,5.1,1.1,2.8,1.0,2.2,1.1,1.4,0.2,1.4,1.6,2.5,0.7,0.1,1.0,1.7,6.3
13,B.J. Armstrong,PG,32,CHI,27,18,21.6,3.1,6.9,0.5,1.1,2.6,5.8,0.8,0.9,0.1,1.7,1.7,2.9,0.3,0.0,1.5,1.3,7.4
14,Darrell Armstrong,PG,31,ORL,82,82,31.6,5.9,13.6,1.7,4.9,4.2,8.7,2.7,3.0,0.8,2.5,3.3,6.1,2.1,0.1,3.0,1.7,16.2
15,Chucky Atkins,PG,25,ORL,82,0,19.8,3.8,9.0,0.7,2.0,3.1,7.0,1.2,1.6,0.2,1.3,1.5,3.7,0.6,0.0,1.7,1.7,9.5
16,Stacey Augmon,SG,31,POR,59,0,11.7,1.4,3.0,0.0,0.0,1.4,2.9,0.6,0.9,0.7,1.3,2.0,0.9,0.5,0.2,0.6,1.2,3.4
17,Isaac Austin,C,30,WAS,59,23,19.9,2.6,6.0,0.0,0.1,2.5,5.9,1.6,2.3,1.1,3.7,4.8,1.3,0.3,0.6,1.8,2.2,6.7
18,Anthony Avent,PF,30,LAC,49,3,7.7,0.6,2.0,0.0,0.0,0.6,2.0,0.5,0.7,0.5,1.0,1.5,0.2,0.3,0.3,0.5,1.3,1.7
19,William Avery,PG,20,MIN,59,1,8.2,0.9,3.1,0.3,1.1,0.6,2.0,0.4,0.6,0.1,0.5,0.7,1.5,0.2,0.0,0.7,1.0,2.6
20,Toby Bailey,SG,24,PHO,46,2,9.8,1.3,3.0,0.0,0.2,1.2,2.8,1.0,1.4,0.6,1.0,1.6,0.7,0.3,0.1,0.5,1.2,3.5
21,Vin Baker,C,28,SEA,79,75,36.1,6.5,14.3,0.0,0.1,6.5,14.2,3.6,5.2,2.9,4.8,7.7,1.9,0.6,0.8,2.7,3.6,16.6
22,Charles Barkley*,PF,36,HOU,20,18,31.0,5.3,11.1,0.3,1.3,5.0,9.8,3.6,5.5,3.6,6.9,10.5,3.2,0.7,0.2,2.2,2.4,14.5
23,Dana Barros,PG,32,BOS,72,0,15.8,2.7,6.0,0.8,2.0,1.9,4.0,0.9,1.1,0.2,1.2,1.4,1.8,0.4,0.1,0.9,1.1,7.2
24,Brent Barry,SG,28,SEA,80,74,34.1,4.1,8.8,2.1,5.0,2.0,3.9,1.6,2.0,0.6,4.0,4.7,3.6,1.3,0.4,1.8,2.9,11.8
25,Drew Barry,PG,26,TOT,16,0,9.9,0.9,2.1,0.4,1.1,0.5,0.9,0.3,0.3,0.0,0.8,0.8,2.1,0.1,0.0,0.8,1.4,2.6
26,Jon Barry,SG,30,SAC,62,1,20.7,2.6,5.6,1.1,2.5,1.5,3.1,1.7,1.9,0.6,2.0,2.6,2.4,1.2,0.1,1.4,1.7,8.0
27,Tony Battie,C,23,BOS,82,4,18.4,2.7,5.6,0.0,0.1,2.7,5.5,1.2,1.8,1.9,3.1,5.0,0.8,0.6,0.9,0.8,3.0,6.6
28,Jonathan Bender,SF,19,IND,24,1,5.4,1.0,2.9,0.1,0.5,0.9,2.4,0.7,1.0,0.2,0.7,0.9,0.1,0.0,0.2,0.3,0.8,2.7
29,Benoit Benjamin,C,35,CLE,3,0,2.7,0.3,1.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.0,0.3,0.7
30,Corey Benjamin,SG,21,CHI,48,10,18.0,3.0,7.3,0.6,1.9,2.4,5.4,1.0,1.7,0.4,1.4,1.8,1.1,0.6,0.5,1.5,2.5,7.7
